SLNO,numPS,namePSe,namePSh,PART_CATEGORY,PART_LAT_LONG,latPS,longPS,acPS
182,182,PRATHMIK VIDYALAYA NEWADA R.NO.2,प्राथमिक विद्यालय नेवादा क0सं0 2,R,25.416866371859914-83.07546235620975,25.3576207,83.0884583,386
183,183,SRI KHANDESHWARI BABA INTER COLLEGE CHANDPUR MUSHTAFABAD R.NO.1,श्री खण्‍डेश्‍वरी बाबा इण्‍टर कालेज चांदपुर मुस्‍तफाबाद क0सं0 1,R,25.412685505564923-83.08604467660189,25.3576809,83.1060465,386
184,184,SRI KHANDESHWARI BABA INTER COLLEGE CHANDPUR MUSHTAFABAD R.NO.2,श्री खण्‍डेश्‍वरी बाबा इण्‍टर कालेज चांदपुर मुस्‍तफाबाद क0सं0 2,R,25.36409888705362-83.0746154487133,25.3577133,83.1060283,386
185,185,PRATHMIK VIDYALAYA TOFAPUR R.NO. 1,प्राथमिक विद्यालय तोफापुर क0सं0 1,R,25.36392408084776-83.07457722723484,25.36392408,83.07457723,386
186,186,PRATHMIK VIDYALAYA TOFAPUR R.NO. 2,प्राथमिक विद्यालय तोफापुर क0सं0 2,R,25.36416038727043-83.07463087141514,25.3864273,83.0932474,386
187,187,COMPOSIT VIDYALAYA MILKOPUR R.NO. 1,कम्‍पोजिट विद्यालय मिल्‍कोपुर क0सं0 1,R,25.37425508730987-83.06919403374195,25.3729094,83.106083,386
188,188,COMPOSIT VIDYALAYA MILKOPUR R.NO. 2,कम्‍पोजिट विद्यालय मिल्‍कोपुर क0सं0 2,R,25.384889327034905-83.06319426745175,25.3790128,83.0920341,386
189,189,COMPOSIT VIDYALAYA PACHARAO R.NO. 1,कम्‍पोजिट विद्यालय पचरांव क0सं0 1,R,25.371873417582687-83.0713652819395,25.37187342,83.07136528,386
190,190,COMPOSIT VIDYALAYA PACHARAO R.NO. 2,कम्‍पोजिट विद्यालय पचरांव क0सं0 2,R,25.369236016496956-83.0748900398612,25.36923602,83.07489004,386
191,191,COMPOSIT VIDYALAYA PACHARAO R.NO. 3,कम्‍पोजिट विद्यालय पचरांव क0सं0 3,R,25.36964408128408-83.08022294193506,25.3677426,83.1092808,386
192,192,PRATHMIK VIDYALAYA PHOOLPUR,प्राथमिक विद्यालय फूलपुर,R,25.369236016496956-83.0748900398612,25.36923602,83.07489004,386
193,193,COMPOSIT VIDYALAYA BANKAT R.NO. 1,कम्‍पोजिट विद्यालय बनकट क0सं0 1,R,25.370422339110192-83.0936661735177,25.37042234,83.09366617,386
194,194,COMPOSIT VIDYALAYA BANKAT R.NO. 2,कम्‍पोजिट विद्यालय बनकट क0सं0 2,R,9.3877408998568-119.99999988824128,25.37043219,83.09367012,386
195,195,PRATHMIK VIDYALAYA BHAGWANPUR,प्राथमिक विद्यालय भगवानपुर,R,25.362646200418865-83.08361828327179,25.4392396,83.0926699,386
196,196,PRATHMIK VIDYALAYA SHAHPUR,प्राथमिक विद्यालय शाहपुर,R,25.353351622377907-83.07680513709784,25.43035,83.091875,386
197,197,PRATHMIK VIDYALAYA PANIHARI R.NO. 1,प्राथमिक विद्यालय पनिहरी क0सं0 1,R,25.34247431978405-83.1000464782119,25.34247432,83.10004648,386
198,198,PRATHMIK VIDYALAYA PANIHARI R.NO. 2,प्राथमिक विद्यालय पनिहरी क0सं0 2,R,25.34270703200385-83.08477062731981,25.4246395,83.085012,386
199,199,PRATHMIK VIDYALAYA PANIHARI R.NO. 3,प्राथमिक विद्यालय पनिहरी क0सं0 3,R,25.357787828984865-83.08881875127554,25.4245059,83.0849574,386
200,200,PRATHMIK VIDYALAYA PANIHARI R.NO. 4,प्राथमिक विद्यालय पनिहरी क0सं0 4,R,25.357856906724333-83.08888144791125,25.35785691,83.08888145,386
201,201,PRATHMIK VIDYALAYA GAURDIH,प्राथमिक विद्यालय गौरडीह,R,25.357968703508526-83.10653675347567,25.3579687,83.10653675,386
202,202,COMPOSIT VIDYALAYA SONBARSA R.NO. 1,कम्‍पोजिट विद्यालय सोनबरसा क0सं0 1,R,25.357980519422775-83.10670439153908,25.35798052,83.10670439,386
203,203,COMPOSIT VIDYALAYA SONBARSA R.NO. 2,कम्‍पोजिट विद्यालय सोनबरसा क0सं0 2,R,25.35825228513152-83.10632318258286,25.35825229,83.10632318,386
204,204,COMPOSIT VIDYALAYA SONBARSA R.NO. 3,कम्‍पोजिट विद्यालय सोनबरसा क0सं0 3,R,25.386436857104023-83.09351731091736,25.38643686,83.09351731,386
205,205,PRATHMIK VIDYALAYA BARTHARAKALA PRATHAM R.NO.1,प्राथमिक विद्यालय बर्थराकला प्रथम क0सं0 1,R,25.388596217547516-83.08921203017235,25.38859622,83.08921203,386
206,206,PRATHMIK VIDYALAYA BARTHARAKALA PRATHAM R.NO.2,प्राथमिक विद्यालय बर्थराकला प्रथम क0सं0 2,R,25.37903040267515-83.09197705239058,25.4117964,83.1298369,386
207,207,PRATHMIK VIDYALAYA BARTHARAKALA PRATHAM R.NO.3,प्राथमिक विद्यालय बर्थराकला प्रथम क0सं0 3,R,25.37165651426748-83.07648461312056,25.411905,83.1289183,386
208,208,COMPOSIT VIDYALAYA JHAJHUPUR,कम्‍पो‍जिट विद्यालय झाझूपुर,R,25.36541553017863-83.10340125113724,25.36541553,83.10340125,386
209,209,COMPOSIT VIDYALAYA KADIPUR KHURD,कम्‍पोजिट विद्यालय कादीपुर खुर्द,R,25.37059774179725-83.11178583651781,25.4218751,83.1021419,386
210,210,COMPOSIT VIDYALAYA UKATHI R.NO. 1,कम्‍पोजिट विद्यालय उकथी क0सं0 1,R,25.36774037304942-83.10940269380808,25.4002017,83.125225,386
211,211,COMPOSIT VIDYALAYA UKATHI R.NO. 2,कम्‍पोजिट विद्यालय उकथी क0सं0 2,R,25.37111273957974-83.09310927987099,25.4003383,83.1254667,386
212,212,COMPOSIT VIDYALAYA UKATHI R.NO. 3,कम्‍पोजिट विद्यालय उकथी क0सं0 3,R,25.367877911218564-83.08711990714073,25.4007981,83.1257748,386
213,213,PANCHAYAT BHAWAN UKATHI,पंचायत भवन उकथी,R,25.431678723474427-83.10308843851088,25.43167872,83.10308844,386
214,214,PRATHMIK VIDYALAYA CHUKAHA R.NO. 1,प्राथमिक विद्यालय चुकहॉ क0सं0 1,R,25.440380210537757-83.10154717415571,25.44038021,83.10154717,386
215,215,PRATHMIK VIDYALAYA CHUKAHA R.NO. 2,प्राथमिक विद्यालय चुकहॉ क0सं0 2,R,25.43917277635292-83.09269722551106,25.4246267,83.1197267,386
216,216,PRATHMIK VIDYALAYA PARANAPUR,प्राथमिक विद्यालय परनापुर,R,25.430164475178845-83.0936735495925,25.43016448,83.09367355,386
